id,name,sale_ok,purchase_ok,type,hospital_product_type,categ_id/id,default_code
product_product_86592,Sifilis cualitativa (prueba rápida),1,0,service,pathology,product_category_exa_lab,86592
product_product_86593,"Sifilis cuantitativa (VDRL, RPR)",1,0,service,pathology,product_category_exa_lab,86593
product_product_86677,H. pylori (Elisa),1,0,service,pathology,product_category_exa_lab,86677
product_product_86689,VIH  confirmatorio (Western blot),1,0,service,pathology,product_category_exa_lab,86689
product_product_86703,VIH (Prueba rápida),1,0,service,pathology,product_category_exa_lab,86703
product_product_86704,Hepatitis B (core total- Elisa),1,0,service,pathology,product_category_exa_lab,86704
product_product_86705,Hepatitis B (core IgM- Elisa),1,0,service,pathology,product_category_exa_lab,86705
product_product_86708,Hepatitis A total (Elisa),1,0,service,pathology,product_category_exa_lab,86708
product_product_86709,Hepatitis A IgM (Elisa),1,0,service,pathology,product_category_exa_lab,86709
product_product_86759,Rotavirus,1,0,service,pathology,product_category_exa_lab,86759
product_product_86780,Sifilis (Elisa),1,0,service,pathology,product_category_exa_lab,86780
product_product_86781,Sifilis confirmatorio (FTA),1,0,service,pathology,product_category_exa_lab,86781
product_product_87536,Carga viral de VIH,1,0,service,pathology,product_category_exa_lab,87536
product_product_86880,Coombs directo,1,0,service,pathology,product_category_exa_lab,86880
product_product_86885,Coombs indirecto,1,0,service,pathology,product_category_exa_lab,86885
product_product_86900,Grupo sanguíneo (ABO),1,0,service,pathology,product_category_exa_lab,86900
product_product_86901,Factor Rh,1,0,service,pathology,product_category_exa_lab,86901
product_product_87045,Coprocultivo,1,0,service,pathology,product_category_exa_lab,87045
product_product_87087,Urocultivo y antibiograma,1,0,service,pathology,product_category_exa_lab,87087
product_product_87115,Baciloscopia: BK,1,0,service,pathology,product_category_exa_lab,87115
product_product_87116,Cultivo de BK y sensibilidad,1,0,service,pathology,product_category_exa_lab,87116
product_product_87162,Cultivo de secreciones,1,0,service,pathology,product_category_exa_lab,87162
product_product_87177,Parasitológico directo,1,0,service,pathology,product_category_exa_lab,87177
product_product_87177.01,Parasitológico seriado ,1,0,service,pathology,product_category_exa_lab,87177.01
product_product_87178,Test de graham,1,0,service,pathology,product_category_exa_lab,87178
product_product_87179,Examen coprológico funcional,1,0,service,pathology,product_category_exa_lab,87179
product_product_87184,Antibiograma,1,0,service,pathology,product_category_exa_lab,87184
product_product_87205,Examen directo de secreción,1,0,service,pathology,product_category_exa_lab,87205
product_product_87220,Examen directo hongos/ácaros (KOH),1,0,service,pathology,product_category_exa_lab,87220
product_product_87340,Hepatitis B Ag. Australiano (Elisa),1,0,service,pathology,product_category_exa_lab,87340
product_product_87351,Hepatitis B Ag. Epsilon ,1,0,service,pathology,product_category_exa_lab,87351
product_product_87389,VIH (Elisa),1,0,service,pathology,product_category_exa_lab,87389
product_product_82520,Cocaína en orina,1,0,service,pathology,product_category_exa_lab,82520
product_product_82977,Gamma glutamil transferasa (GGT),1,0,service,pathology,product_category_exa_lab,82977
product_product_87207,Gota gruesa (Malaria/Bartonella),1,0,service,pathology,product_category_exa_lab,87207
product_product_89055,Reacción inflamatoria en Heces,1,0,service,pathology,product_category_exa_lab,89055
product_product_86687,Anti  HTLV-I,1,0,service,pathology,product_category_exa_lab,86687
product_product_86688,Anti HTLV-II,1,0,service,pathology,product_category_exa_lab,86688
product_product_86803,Anti VHC,1,0,service,pathology,product_category_exa_lab,86803
product_product_86694,Anti Herpes total,1,0,service,pathology,product_category_exa_lab,86694
product_product_86695,Herpes 1 IgG,1,0,service,pathology,product_category_exa_lab,86695
product_product_86695.01,Herpes 1  IgM ,1,0,service,pathology,product_category_exa_lab,86695.01
product_product_86696,Herpes 2 IgG,1,0,service,pathology,product_category_exa_lab,86696
product_product_86696.01,Herpes 2 IgM ,1,0,service,pathology,product_category_exa_lab,86696.01
product_product_86644,CMV IgG,1,0,service,pathology,product_category_exa_lab,86644
product_product_86645,CMV IgM,1,0,service,pathology,product_category_exa_lab,86645
product_product_86762,Rubeola IgG,1,0,service,pathology,product_category_exa_lab,86762
product_product_86762.01,Rubeola IgM,1,0,service,pathology,product_category_exa_lab,86762.01
product_product_86777,Toxoplasma IgG,1,0,service,pathology,product_category_exa_lab,86777
product_product_86778,Toxoplasma IgM,1,0,service,pathology,product_category_exa_lab,86778
product_product_86701,VIH (Prueba rápida),1,0,service,pathology,product_category_exa_lab,86778
